trial_num,out_ch,num_heads,mid_ch,best_valid_auroc,best_epoch,test_auroc,test_auprc,test_macro_f1,test_accuracy,status
1,32,4,16,0.8111857004077241,20,0.0,0.0,0.32236853870644516,0.9005679529525498,success
2,32,4,24,0.8111857004077241,20,0.0,0.0,0.32236853870644516,0.9005679529525498,success
3,32,6,16,0.8111857004077241,20,0.0,0.0,0.32236853870644516,0.9005679529525498,success
4,32,6,24,0.8111857004077241,20,0.0,0.0,0.32236853870644516,0.9005679529525498,success
5,32,8,16,0.8111857004077241,20,0.0,0.0,0.32236853870644516,0.9005679529525498,success
6,32,8,24,0.8111857004077241,20,0.0,0.0,0.32236853870644516,0.9005679529525498,success
7,48,4,16,0.8496435100024673,11,0.0,0.0,0.4225404241594578,0.8988963183758962,success
8,48,4,24,0.8496435100024673,11,0.0,0.0,0.4225404241594578,0.8988963183758962,success
9,48,6,16,0.8496435100024673,11,0.0,0.0,0.4225404241594578,0.8988963183758962,success
10,48,6,24,0.8496435100024673,11,0.0,0.0,0.4225404241594578,0.8988963183758962,success
11,48,8,16,0.8496435100024673,11,0.0,0.0,0.4225404241594578,0.8988963183758962,success
12,48,8,24,0.8496435100024673,11,0.0,0.0,0.4225404241594578,0.8988963183758962,success
13,64,4,16,0.8652984387475111,10,0.0,0.0,0.44565808996925527,0.9198018206718762,success
14,64,4,24,0.8652984387475111,10,0.0,0.0,0.44565808996925527,0.9198018206718762,success
15,64,6,16,0.8652984387475111,10,0.0,0.0,0.44565808996925527,0.9198018206718762,success
16,64,6,24,0.8652984387475111,10,0.0,0.0,0.44565808996925527,0.9198018206718762,success
17,64,8,16,0.8652984387475111,10,0.0,0.0,0.44565808996925527,0.9198018206718762,success
18,64,8,24,0.8652984387475111,10,0.0,0.0,0.44565808996925527,0.9198018206718762,success
